ticker,company_name,broad_sector,market_cap_category,pnl_count,bs_count,cf_count,prices_count,valuation_count
LODHA,Macrotech Developers Ltd,Real Estate,Large Cap,12,13,9,60,6
LT,Larsen & Toubro Ltd,Industrials,Large Cap,12,13,12,60,6
LTIM,LTIMindtree Ltd,Information Technology,Large Cap,12,13,12,60,6
M&M,"Mahindra & Mahindra Ltd
",Consumer Discretionary,Large Cap,12,13,12,60,6
MARUTI,Maruti Suzuki India Ltd,Consumer Discretionary,Mid Cap,12,13,12,60,6
MOTHERSON,Samvardhana Motherson International Ltd,Consumer Discretionary,Large Cap,12,13,12,60,6
NAUKRI,Info Edge (India) Ltd,Communication Services,Large Cap,12,13,12,60,6
NESTLEIND,Nestle India Ltd,Consumer Staples,Large Cap,12,13,12,60,6
NHPC,"NHPC Ltd
",Energy,Large Cap,12,13,12,60,6
NTPC,NTPC Ltd,Energy,Large Cap,12,13,12,60,6
ONGC,Oil & Natural Gas Corpn Ltd,Energy,Large Cap,12,13,12,60,6
PFC,Power Finance Corporation Ltd,Financials,Large Cap,12,13,12,60,6
PIDILITIND,Pidilite Industries Ltd,Materials,Large Cap,12,13,12,60,6
PNB,Punjab National Bank,Financials,Large Cap,12,12,12,60,6
POWERGRID,Power Grid Corporation of India Ltd,Energy,Large Cap,12,13,12,60,6
RECLTD,REC Ltd,Financials,Large Cap,12,13,12,60,6
RELIANCE,"Reliance Industries Ltd
",Energy,Large Cap,12,13,12,60,6
SBILIFE,SBI Life Insurance Company Ltd,Financials,Large Cap,12,13,12,60,6
SBIN,State Bank of India,Financials,Large Cap,12,0,12,60,6
SHREECEM,Shree Cement Ltd,Materials,Large Cap,11,13,12,60,6
SHRIRAMFIN,"Shriram Finance Ltd
",Financials,Large Cap,12,13,12,60,6
SIEMENS,Siemens Ltd,Industrials,Large Cap,12,12,12,60,6
SUNPHARMA,Sun Pharmaceuticals Industries Ltd,Healthcare,Large Cap,12,13,12,60,6
TATACONSUM,Tata Consumer Products Ltd,Consumer Staples,Large Cap,12,13,12,60,6
TATAMOTORS,Tata Motors Ltd,Consumer Discretionary,Large Cap,12,13,12,60,6
TATAPOWER,"Tata Power Company Ltd
",Energy,Mid Cap,12,13,12,60,6
TATASTEEL,"Tata Steel Ltd
",Materials,Mid Cap,12,13,12,60,6
TCS,Tata Consultancy Services Ltd,Information Technology,Large Cap,12,13,12,60,6
TECHM,Tech Mahindra Ltd,Information Technology,Large Cap,12,13,12,60,6
TITAN,"Titan Company Ltd
",Consumer Discretionary,Large Cap,12,13,12,60,6
TORNTPHARM,Torrent Pharmaceuticals Ltd,Healthcare,Large Cap,12,13,12,60,6
TRENT,Trent Ltd,Consumer Discretionary,Large Cap,12,13,12,60,6
TVSMOTOR,TVS Motor Company Ltd,Consumer Discretionary,Large Cap,12,13,12,60,6
