company_id,metric_type,period_years,value_pct
ADANIPORTS,compounded_profit_growth,10,12.2
ADANIPORTS,compounded_profit_growth,5,14.0
ADANIPORTS,compounded_profit_growth,3,16.5
ADANIPORTS,stock_price_cagr,10,15.4
ADANIPORTS,stock_price_cagr,5,17.8
ADANIPORTS,stock_price_cagr,3,14.2
ADANIPORTS,stock_price_cagr,1,21.0
ADANIPORTS,roe,10,14.3
ADANIPORTS,roe,5,15.3
ADANIPORTS,roe,3,16.9
ADANIPOWER,compounded_sales_growth,10,14.9
ADANIPOWER,compounded_sales_growth,5,16.1
ADANIPOWER,compounded_sales_growth,3,18.2
ADANIPOWER,compounded_profit_growth,10,12.2
ADANIPOWER,compounded_profit_growth,5,14.0
ADANIPOWER,compounded_profit_growth,3,16.5
ADANIPOWER,stock_price_cagr,10,15.4
ADANIPOWER,stock_price_cagr,5,17.8
ADANIPOWER,stock_price_cagr,3,14.2
ADANIPOWER,stock_price_cagr,1,21.0
ADANIPOWER,roe,10,47.3
ADANIPOWER,roe,5,48.3
ADANIPOWER,roe,3,49.8
AMBUJACEM,compounded_sales_growth,10,5.8
AMBUJACEM,compounded_sales_growth,5,7.0
AMBUJACEM,compounded_sales_growth,3,9.1
AMBUJACEM,compounded_profit_growth,10,12.2
AMBUJACEM,compounded_profit_growth,5,14.0
AMBUJACEM,compounded_profit_growth,3,16.5
AMBUJACEM,stock_price_cagr,10,15.4
AMBUJACEM,stock_price_cagr,5,17.8
AMBUJACEM,stock_price_cagr,3,14.2
AMBUJACEM,stock_price_cagr,1,21.0
AMBUJACEM,roe,10,10.4
AMBUJACEM,roe,5,11.4
AMBUJACEM,roe,3,12.9
APOLLOHOSP,compounded_sales_growth,10,13.5
APOLLOHOSP,compounded_sales_growth,5,14.7
APOLLOHOSP,compounded_sales_growth,3,16.8
APOLLOHOSP,compounded_profit_growth,10,12.2
APOLLOHOSP,compounded_profit_growth,5,14.0
APOLLOHOSP,compounded_profit_growth,3,16.5
APOLLOHOSP,stock_price_cagr,10,15.4
APOLLOHOSP,stock_price_cagr,5,17.8
APOLLOHOSP,stock_price_cagr,3,14.2
APOLLOHOSP,stock_price_cagr,1,21.0
APOLLOHOSP,roe,10,12.5
APOLLOHOSP,roe,5,13.5
APOLLOHOSP,roe,3,15.0
ASIANPAINT,compounded_sales_growth,10,11.8
ASIANPAINT,compounded_sales_growth,5,13.0
ASIANPAINT,compounded_sales_growth,3,15.1
ASIANPAINT,compounded_profit_growth,10,12.2
ASIANPAINT,compounded_profit_growth,5,14.0
ASIANPAINT,compounded_profit_growth,3,16.5
ASIANPAINT,stock_price_cagr,10,15.4
ASIANPAINT,stock_price_cagr,5,17.8
ASIANPAINT,stock_price_cagr,3,14.2
ASIANPAINT,stock_price_cagr,1,21.0
ASIANPAINT,roe,10,28.7
ASIANPAINT,roe,5,29.7
ASIANPAINT,roe,3,31.2
ATGL,compounded_sales_growth,10,19.9
ATGL,compounded_sales_growth,5,21.1
ATGL,compounded_sales_growth,3,23.2
ATGL,compounded_profit_growth,10,12.2
ATGL,compounded_profit_growth,5,14.0
ATGL,compounded_profit_growth,3,16.5
ATGL,stock_price_cagr,10,15.4
ATGL,stock_price_cagr,5,17.8
ATGL,stock_price_cagr,3,14.2
ATGL,stock_price_cagr,1,21.0
ATGL,roe,10,17.7
ATGL,roe,5,18.7
ATGL,roe,3,20.2
AXISBANK,compounded_sales_growth,10,13.5
AXISBANK,compounded_sales_growth,5,14.7
AXISBANK,compounded_sales_growth,3,16.8
AXISBANK,compounded_profit_growth,10,12.2
AXISBANK,compounded_profit_growth,5,14.0
AXISBANK,compounded_profit_growth,3,16.5
AXISBANK,stock_price_cagr,10,15.4
AXISBANK,stock_price_cagr,5,17.8
AXISBANK,stock_price_cagr,3,14.2
AXISBANK,stock_price_cagr,1,21.0
AXISBANK,roe,10,14.8
AXISBANK,roe,5,15.8
AXISBANK,roe,3,17.3
BAJAJ-AUTO,compounded_sales_growth,10,6.9
BAJAJ-AUTO,compounded_sales_growth,5,8.1
BAJAJ-AUTO,compounded_sales_growth,3,10.2
BAJAJ-AUTO,compounded_profit_growth,10,12.2
BAJAJ-AUTO,compounded_profit_growth,5,14.0
BAJAJ-AUTO,compounded_profit_growth,3,16.5
BAJAJ-AUTO,stock_price_cagr,10,15.4
BAJAJ-AUTO,stock_price_cagr,5,17.8
BAJAJ-AUTO,stock_price_cagr,3,14.2
BAJAJ-AUTO,stock_price_cagr,1,21.0
BAJAJ-AUTO,roe,10,25.6
BAJAJ-AUTO,roe,5,26.6
BAJAJ-AUTO,roe,3,28.1
BAJAJFINSV,compounded_sales_growth,10,19.8
BAJAJFINSV,compounded_sales_growth,5,21.0
BAJAJFINSV,compounded_sales_growth,3,23.1
BAJAJFINSV,compounded_profit_growth,10,12.2
BAJAJFINSV,compounded_profit_growth,5,14.0
BAJAJFINSV,compounded_profit_growth,3,16.5
BAJAJFINSV,stock_price_cagr,10,15.4
BAJAJFINSV,stock_price_cagr,5,17.8
BAJAJFINSV,stock_price_cagr,3,14.2
BAJAJFINSV,stock_price_cagr,1,21.0
BAJAJFINSV,roe,10,24.9
BAJAJFINSV,roe,5,25.9
BAJAJFINSV,roe,3,27.4
BAJAJHLDNG,compounded_sales_growth,10,30.4
BAJAJHLDNG,compounded_sales_growth,5,31.6
BAJAJHLDNG,compounded_sales_growth,3,33.7
BAJAJHLDNG,compounded_profit_growth,10,12.2
BAJAJHLDNG,compounded_profit_growth,5,14.0
BAJAJHLDNG,compounded_profit_growth,3,16.5
BAJAJHLDNG,stock_price_cagr,10,15.4
BAJAJHLDNG,stock_price_cagr,5,17.8
BAJAJHLDNG,stock_price_cagr,3,14.2
BAJAJHLDNG,stock_price_cagr,1,21.0
BAJAJHLDNG,roe,10,12.6
BAJAJHLDNG,roe,5,13.6
BAJAJHLDNG,roe,3,15.1
BAJFINANCE,compounded_sales_growth,10,23.2
BAJFINANCE,compounded_sales_growth,5,24.4
BAJFINANCE,compounded_sales_growth,3,26.5
BAJFINANCE,compounded_profit_growth,10,12.2
BAJFINANCE,compounded_profit_growth,5,14.0
BAJFINANCE,compounded_profit_growth,3,16.5
BAJFINANCE,stock_price_cagr,10,15.4
BAJFINANCE,stock_price_cagr,5,17.8
BAJFINANCE,stock_price_cagr,3,14.2
BAJFINANCE,stock_price_cagr,1,21.0
BAJFINANCE,roe,10,17.8
BAJFINANCE,roe,5,18.8
BAJFINANCE,roe,3,20.3
BANKBARODA,compounded_sales_growth,10,16.3
BANKBARODA,compounded_sales_growth,5,17.5
BANKBARODA,compounded_sales_growth,3,19.6
BANKBARODA,compounded_profit_growth,10,12.2
BANKBARODA,compounded_profit_growth,5,14.0
BANKBARODA,compounded_profit_growth,3,16.5
BANKBARODA,stock_price_cagr,10,15.4
BANKBARODA,stock_price_cagr,5,17.8
BANKBARODA,stock_price_cagr,3,14.2
BANKBARODA,stock_price_cagr,1,21.0
BANKBARODA,roe,10,14.8
BANKBARODA,roe,5,15.8
BANKBARODA,roe,3,17.3
BEL,compounded_sales_growth,10,9.6
BEL,compounded_sales_growth,5,10.8
BEL,compounded_sales_growth,3,12.8
BEL,compounded_profit_growth,10,12.2
BEL,compounded_profit_growth,5,14.0
BEL,compounded_profit_growth,3,16.5
BEL,stock_price_cagr,10,15.4
BEL,stock_price_cagr,5,17.8
BEL,stock_price_cagr,3,14.2
BEL,stock_price_cagr,1,21.0
BEL,roe,10,4743.1
BEL,roe,5,4744.1
BEL,roe,3,4745.6
BHARTIARTL,compounded_sales_growth,10,12.0
BHARTIARTL,compounded_sales_growth,5,13.2
BHARTIARTL,compounded_sales_growth,3,15.3
BHARTIARTL,compounded_profit_growth,10,12.2
BHARTIARTL,compounded_profit_growth,5,14.0
BHARTIARTL,compounded_profit_growth,3,16.5
BHARTIARTL,stock_price_cagr,10,15.4
BHARTIARTL,stock_price_cagr,5,17.8
BHARTIARTL,stock_price_cagr,3,14.2
BHARTIARTL,stock_price_cagr,1,21.0
BHARTIARTL,roe,10,9.4
BHARTIARTL,roe,5,10.4
BHARTIARTL,roe,3,11.9
BHEL,compounded_sales_growth,10,-5.9
BHEL,compounded_sales_growth,5,-4.7
BHEL,compounded_sales_growth,3,-2.6
BHEL,compounded_profit_growth,10,12.2
BHEL,compounded_profit_growth,5,14.0
BHEL,compounded_profit_growth,3,16.5
BHEL,stock_price_cagr,10,15.4
BHEL,stock_price_cagr,5,17.8
BHEL,stock_price_cagr,3,14.2
BHEL,stock_price_cagr,1,21.0
BHEL,roe,10,0.1
BHEL,roe,5,1.1
BHEL,roe,3,2.6
BOSCHLTD,compounded_sales_growth,10,5.5
BOSCHLTD,compounded_sales_growth,5,6.7
BOSCHLTD,compounded_sales_growth,3,8.8
BOSCHLTD,compounded_profit_growth,10,12.2
BOSCHLTD,compounded_profit_growth,5,14.0
BOSCHLTD,compounded_profit_growth,3,16.5
BOSCHLTD,stock_price_cagr,10,15.4
BOSCHLTD,stock_price_cagr,5,17.8
BOSCHLTD,stock_price_cagr,3,14.2
BOSCHLTD,stock_price_cagr,1,21.0
BOSCHLTD,roe,10,19.6
BOSCHLTD,roe,5,20.6
BOSCHLTD,roe,3,22.1
BPCL,compounded_sales_growth,10,7.3
BPCL,compounded_sales_growth,5,8.5
BPCL,compounded_sales_growth,3,10.6
BPCL,compounded_profit_growth,10,12.2
BPCL,compounded_profit_growth,5,14.0
BPCL,compounded_profit_growth,3,16.5
BPCL,stock_price_cagr,10,15.4
BPCL,stock_price_cagr,5,17.8
BPCL,stock_price_cagr,3,14.2
BPCL,stock_price_cagr,1,21.0
BPCL,roe,10,34.5
BPCL,roe,5,35.5
BPCL,roe,3,37.0
BRITANNIA,compounded_sales_growth,10,7.5
BRITANNIA,compounded_sales_growth,5,8.7
BRITANNIA,compounded_sales_growth,3,10.8
BRITANNIA,compounded_profit_growth,10,12.2
BRITANNIA,compounded_profit_growth,5,14.0
BRITANNIA,compounded_profit_growth,3,16.5
BRITANNIA,stock_price_cagr,10,15.4
BRITANNIA,stock_price_cagr,5,17.8
BRITANNIA,stock_price_cagr,3,14.2
BRITANNIA,stock_price_cagr,1,21.0
BRITANNIA,roe,10,53.1
BRITANNIA,roe,5,54.1
BRITANNIA,roe,3,55.6
CANBK,compounded_sales_growth,10,17.0
CANBK,compounded_sales_growth,5,18.2
CANBK,compounded_sales_growth,3,20.3
CANBK,compounded_profit_growth,10,12.2
CANBK,compounded_profit_growth,5,14.0
CANBK,compounded_profit_growth,3,16.5
CANBK,stock_price_cagr,10,15.4
CANBK,stock_price_cagr,5,17.8
CANBK,stock_price_cagr,3,14.2
CANBK,stock_price_cagr,1,21.0
CANBK,roe,10,15.7
CANBK,roe,5,16.7
CANBK,roe,3,18.2
CHOLAFIN,compounded_sales_growth,10,20.7
CHOLAFIN,compounded_sales_growth,5,21.9
CHOLAFIN,compounded_sales_growth,3,24.0
CHOLAFIN,compounded_profit_growth,10,12.2
CHOLAFIN,compounded_profit_growth,5,14.0
CHOLAFIN,compounded_profit_growth,3,16.5
CHOLAFIN,stock_price_cagr,10,15.4
CHOLAFIN,stock_price_cagr,5,17.8
CHOLAFIN,stock_price_cagr,3,14.2
CHOLAFIN,stock_price_cagr,1,21.0
CHOLAFIN,roe,10,16.5
CHOLAFIN,roe,5,17.5
CHOLAFIN,roe,3,19.0
CIPLA,compounded_sales_growth,10,8.3
CIPLA,compounded_sales_growth,5,9.5
CIPLA,compounded_sales_growth,3,11.6
CIPLA,compounded_profit_growth,10,12.2
CIPLA,compounded_profit_growth,5,14.0
CIPLA,compounded_profit_growth,3,16.5
CIPLA,stock_price_cagr,10,15.4
CIPLA,stock_price_cagr,5,17.8
CIPLA,stock_price_cagr,3,14.2
CIPLA,stock_price_cagr,1,21.0
CIPLA,roe,10,14.6
CIPLA,roe,5,15.6
CIPLA,roe,3,17.1
COALINDIA,compounded_sales_growth,10,6.2
COALINDIA,compounded_sales_growth,5,7.4
COALINDIA,compounded_sales_growth,3,9.5
COALINDIA,compounded_profit_growth,10,12.2
COALINDIA,compounded_profit_growth,5,14.0
COALINDIA,compounded_profit_growth,3,16.5
COALINDIA,stock_price_cagr,10,15.4
COALINDIA,stock_price_cagr,5,17.8
COALINDIA,stock_price_cagr,3,14.2
COALINDIA,stock_price_cagr,1,21.0
COALINDIA,roe,10,44.2
COALINDIA,roe,5,45.2
COALINDIA,roe,3,46.7
DABUR,compounded_sales_growth,10,6.6
DABUR,compounded_sales_growth,5,7.8
DABUR,compounded_sales_growth,3,9.9
DABUR,compounded_profit_growth,10,12.2
DABUR,compounded_profit_growth,5,14.0
DABUR,compounded_profit_growth,3,16.5
DABUR,stock_price_cagr,10,15.4
DABUR,stock_price_cagr,5,17.8
DABUR,stock_price_cagr,3,14.2
DABUR,stock_price_cagr,1,21.0
DABUR,roe,10,17.4
DABUR,roe,5,18.4
DABUR,roe,3,19.9
DIVISLAB,compounded_sales_growth,10,8.5
DIVISLAB,compounded_sales_growth,5,9.7
DIVISLAB,compounded_sales_growth,3,11.8
DIVISLAB,compounded_profit_growth,10,12.2
DIVISLAB,compounded_profit_growth,5,14.0
DIVISLAB,compounded_profit_growth,3,16.5
DIVISLAB,stock_price_cagr,10,15.4
DIVISLAB,stock_price_cagr,5,17.8
DIVISLAB,stock_price_cagr,3,14.2
DIVISLAB,stock_price_cagr,1,21.0
DIVISLAB,roe,10,10.8
DIVISLAB,roe,5,11.8
DIVISLAB,roe,3,13.3
DLF,compounded_sales_growth,10,-6.3
DLF,compounded_sales_growth,5,-5.1
DLF,compounded_sales_growth,3,-3.0
DLF,compounded_profit_growth,10,12.2
DLF,compounded_profit_growth,5,14.0
DLF,compounded_profit_growth,3,16.5
DLF,stock_price_cagr,10,15.4
DLF,stock_price_cagr,5,17.8
DLF,stock_price_cagr,3,14.2
DLF,stock_price_cagr,1,21.0
DLF,roe,10,5.9
DLF,roe,5,6.9
DLF,roe,3,8.4
DMART,compounded_sales_growth,10,19.3
DMART,compounded_sales_growth,5,20.5
DMART,compounded_sales_growth,3,22.6
DMART,compounded_profit_growth,10,12.2
DMART,compounded_profit_growth,5,14.0
DMART,compounded_profit_growth,3,16.5
DMART,stock_price_cagr,10,15.4
DMART,stock_price_cagr,5,17.8
DMART,stock_price_cagr,3,14.2
DMART,stock_price_cagr,1,21.0
DMART,roe,10,12.6
DMART,roe,5,13.6
DMART,roe,3,15.1
DRREDDY,compounded_sales_growth,10,11.4
DRREDDY,compounded_sales_growth,5,12.6
DRREDDY,compounded_sales_growth,3,14.7
DRREDDY,compounded_profit_growth,10,12.2
DRREDDY,compounded_profit_growth,5,14.0
DRREDDY,compounded_profit_growth,3,16.5
DRREDDY,stock_price_cagr,10,15.4
DRREDDY,stock_price_cagr,5,17.8
DRREDDY,stock_price_cagr,3,14.2
DRREDDY,stock_price_cagr,1,21.0
DRREDDY,roe,10,18.7
DRREDDY,roe,5,19.7
DRREDDY,roe,3,21.2
EICHERMOT,compounded_sales_growth,10,9.8
EICHERMOT,compounded_sales_growth,5,11.0
EICHERMOT,compounded_sales_growth,3,13.1
EICHERMOT,compounded_profit_growth,10,12.2
EICHERMOT,compounded_profit_growth,5,14.0
EICHERMOT,compounded_profit_growth,3,16.5
EICHERMOT,stock_price_cagr,10,15.4
EICHERMOT,stock_price_cagr,5,17.8
EICHERMOT,stock_price_cagr,3,14.2
EICHERMOT,stock_price_cagr,1,21.0
EICHERMOT,roe,10,21.2
EICHERMOT,roe,5,22.2
EICHERMOT,roe,3,23.7
GAIL,compounded_sales_growth,10,10.6
GAIL,compounded_sales_growth,5,11.8
GAIL,compounded_sales_growth,3,13.9
GAIL,compounded_profit_growth,10,12.2
GAIL,compounded_profit_growth,5,14.0
GAIL,compounded_profit_growth,3,16.5
GAIL,stock_price_cagr,10,15.4
GAIL,stock_price_cagr,5,17.8
GAIL,stock_price_cagr,3,14.2
GAIL,stock_price_cagr,1,21.0
GAIL,roe,10,11.9
GAIL,roe,5,12.9
GAIL,roe,3,14.4
GODREJCP,compounded_sales_growth,10,5.2
GODREJCP,compounded_sales_growth,5,6.5
GODREJCP,compounded_sales_growth,3,8.6
GODREJCP,compounded_profit_growth,10,12.2
GODREJCP,compounded_profit_growth,5,14.0
GODREJCP,compounded_profit_growth,3,16.5
GODREJCP,stock_price_cagr,10,15.4
GODREJCP,stock_price_cagr,5,17.8
GODREJCP,stock_price_cagr,3,14.2
GODREJCP,stock_price_cagr,1,21.0
GODREJCP,roe,10,-5.5
GODREJCP,roe,5,-4.5
GODREJCP,roe,3,-3.0
GRASIM,compounded_sales_growth,10,10.0
GRASIM,compounded_sales_growth,5,11.2
GRASIM,compounded_sales_growth,3,13.2
GRASIM,compounded_profit_growth,10,12.2
GRASIM,compounded_profit_growth,5,14.0
GRASIM,compounded_profit_growth,3,16.5
GRASIM,stock_price_cagr,10,15.4
GRASIM,stock_price_cagr,5,17.8
GRASIM,stock_price_cagr,3,14.2
GRASIM,stock_price_cagr,1,21.0
GRASIM,roe,10,10.2
GRASIM,roe,5,11.2
GRASIM,roe,3,12.7
HAL,compounded_sales_growth,10,7.5
HAL,compounded_sales_growth,5,8.7
HAL,compounded_sales_growth,3,10.8
HAL,compounded_profit_growth,10,12.2
HAL,compounded_profit_growth,5,14.0
HAL,compounded_profit_growth,3,16.5
HAL,stock_price_cagr,10,15.4
HAL,stock_price_cagr,5,17.8
HAL,stock_price_cagr,3,14.2
HAL,stock_price_cagr,1,21.0
HAL,roe,10,3815.6
HAL,roe,5,3816.6
HAL,roe,3,3818.1
HAVELLS,compounded_sales_growth,10,11.8
HAVELLS,compounded_sales_growth,5,13.0
HAVELLS,compounded_sales_growth,3,15.1
HAVELLS,compounded_profit_growth,10,12.2
HAVELLS,compounded_profit_growth,5,14.0
HAVELLS,compounded_profit_growth,3,16.5
HAVELLS,stock_price_cagr,10,15.4
HAVELLS,stock_price_cagr,5,17.8
HAVELLS,stock_price_cagr,3,14.2
HAVELLS,stock_price_cagr,1,21.0
HAVELLS,roe,10,16.1
HAVELLS,roe,5,17.1
HAVELLS,roe,3,18.6
HCLTECH,compounded_sales_growth,10,11.5
HCLTECH,compounded_sales_growth,5,12.7
HCLTECH,compounded_sales_growth,3,14.8
HCLTECH,compounded_profit_growth,10,12.2
HCLTECH,compounded_profit_growth,5,14.0
HCLTECH,compounded_profit_growth,3,16.5
HCLTECH,stock_price_cagr,10,15.4
HCLTECH,stock_price_cagr,5,17.8
HCLTECH,stock_price_cagr,3,14.2
HCLTECH,stock_price_cagr,1,21.0
HCLTECH,roe,10,22.0
HCLTECH,roe,5,23.0
HCLTECH,roe,3,24.5
HDFCBANK,compounded_sales_growth,10,20.8
HDFCBANK,compounded_sales_growth,5,21.9
HDFCBANK,compounded_sales_growth,3,24.1
HDFCBANK,compounded_profit_growth,10,12.2
HDFCBANK,compounded_profit_growth,5,14.0
HDFCBANK,compounded_profit_growth,3,16.5
HDFCBANK,stock_price_cagr,10,15.4
HDFCBANK,stock_price_cagr,5,17.8
HDFCBANK,stock_price_cagr,3,14.2
HDFCBANK,stock_price_cagr,1,21.0
HDFCBANK,roe,10,13.3
HDFCBANK,roe,5,14.3
HDFCBANK,roe,3,15.8
HDFCLIFE,compounded_sales_growth,10,20.0
HDFCLIFE,compounded_sales_growth,5,21.2
HDFCLIFE,compounded_sales_growth,3,23.3
HDFCLIFE,compounded_profit_growth,10,12.2
HDFCLIFE,compounded_profit_growth,5,14.0
HDFCLIFE,compounded_profit_growth,3,16.5
HDFCLIFE,stock_price_cagr,10,15.4
HDFCLIFE,stock_price_cagr,5,17.8
HDFCLIFE,stock_price_cagr,3,14.2
HDFCLIFE,stock_price_cagr,1,21.0
HDFCLIFE,roe,10,9.7
HDFCLIFE,roe,5,10.7
HDFCLIFE,roe,3,12.2
HEROMOTOCO,compounded_sales_growth,10,0.9
HEROMOTOCO,compounded_sales_growth,5,2.1
HEROMOTOCO,compounded_sales_growth,3,4.2
HEROMOTOCO,compounded_profit_growth,10,12.2
HEROMOTOCO,compounded_profit_growth,5,14.0
HEROMOTOCO,compounded_profit_growth,3,16.5
HEROMOTOCO,stock_price_cagr,10,15.4
HEROMOTOCO,stock_price_cagr,5,17.8
HEROMOTOCO,stock_price_cagr,3,14.2
HEROMOTOCO,stock_price_cagr,1,21.0
HEROMOTOCO,roe,10,20.1
HEROMOTOCO,roe,5,21.1
HEROMOTOCO,roe,3,22.6
HINDALCO,compounded_sales_growth,10,9.4
HINDALCO,compounded_sales_growth,5,10.6
HINDALCO,compounded_sales_growth,3,12.7
HINDALCO,compounded_profit_growth,10,12.2
HINDALCO,compounded_profit_growth,5,14.0
HINDALCO,compounded_profit_growth,3,16.5
HINDALCO,stock_price_cagr,10,15.4
HINDALCO,stock_price_cagr,5,17.8
HINDALCO,stock_price_cagr,3,14.2
HINDALCO,stock_price_cagr,1,21.0
HINDALCO,roe,10,8.6
HINDALCO,roe,5,9.6
HINDALCO,roe,3,11.1
HINDUNILVR,compounded_sales_growth,10,8.3
HINDUNILVR,compounded_sales_growth,5,9.5
HINDUNILVR,compounded_sales_growth,3,11.6
HINDUNILVR,compounded_profit_growth,10,12.2
HINDUNILVR,compounded_profit_growth,5,14.0
HINDUNILVR,compounded_profit_growth,3,16.5
HINDUNILVR,stock_price_cagr,10,15.4
HINDUNILVR,stock_price_cagr,5,17.8
HINDUNILVR,stock_price_cagr,3,14.2
HINDUNILVR,stock_price_cagr,1,21.0
HINDUNILVR,roe,10,19.1
HINDUNILVR,roe,5,20.1
HINDUNILVR,roe,3,21.6
ICICIBANK,compounded_sales_growth,10,16.1
ICICIBANK,compounded_sales_growth,5,17.2
ICICIBANK,compounded_sales_growth,3,19.4
ICICIBANK,compounded_profit_growth,10,12.2
ICICIBANK,compounded_profit_growth,5,14.0
ICICIBANK,compounded_profit_growth,3,16.5
ICICIBANK,stock_price_cagr,10,15.4
ICICIBANK,stock_price_cagr,5,17.8
ICICIBANK,stock_price_cagr,3,14.2
ICICIBANK,stock_price_cagr,1,21.0
ICICIBANK,roe,10,17.0
ICICIBANK,roe,5,18.0
ICICIBANK,roe,3,19.5
ICICIGI,compounded_sales_growth,10,11.7
ICICIGI,compounded_sales_growth,5,12.9
ICICIGI,compounded_sales_growth,3,15.0
ICICIGI,compounded_profit_growth,10,12.2
ICICIGI,compounded_profit_growth,5,14.0
ICICIGI,compounded_profit_growth,3,16.5
ICICIGI,stock_price_cagr,10,15.4
ICICIGI,stock_price_cagr,5,17.8
ICICIGI,stock_price_cagr,3,14.2
ICICIGI,stock_price_cagr,1,21.0
ICICIGI,roe,10,14.7
ICICIGI,roe,5,15.7
ICICIGI,roe,3,17.2
ICICIPRULI,compounded_sales_growth,10,15.7
ICICIPRULI,compounded_sales_growth,5,16.9
ICICIPRULI,compounded_sales_growth,3,19.0
ICICIPRULI,compounded_profit_growth,10,12.2
ICICIPRULI,compounded_profit_growth,5,14.0
ICICIPRULI,compounded_profit_growth,3,16.5
ICICIPRULI,stock_price_cagr,10,15.4
ICICIPRULI,stock_price_cagr,5,17.8
ICICIPRULI,stock_price_cagr,3,14.2
ICICIPRULI,stock_price_cagr,1,21.0
ICICIPRULI,roe,10,6.7
ICICIPRULI,roe,5,7.7
ICICIPRULI,roe,3,9.2
INDIGO,compounded_sales_growth,10,18.1
INDIGO,compounded_sales_growth,5,19.3
INDIGO,compounded_sales_growth,3,21.4
INDIGO,compounded_profit_growth,10,12.2
INDIGO,compounded_profit_growth,5,14.0
INDIGO,compounded_profit_growth,3,16.5
INDIGO,stock_price_cagr,10,15.4
INDIGO,stock_price_cagr,5,17.8
INDIGO,stock_price_cagr,3,14.2
INDIGO,stock_price_cagr,1,21.0
INDIGO,roe,10,891.6
INDIGO,roe,5,892.6
INDIGO,roe,3,894.1
INDUSINDBK,compounded_sales_growth,10,14.3
INDUSINDBK,compounded_sales_growth,5,15.5
INDUSINDBK,compounded_sales_growth,3,17.6
INDUSINDBK,compounded_profit_growth,10,12.2
INDUSINDBK,compounded_profit_growth,5,14.0
INDUSINDBK,compounded_profit_growth,3,16.5
INDUSINDBK,stock_price_cagr,10,15.4
INDUSINDBK,stock_price_cagr,5,17.8
INDUSINDBK,stock_price_cagr,3,14.2
INDUSINDBK,stock_price_cagr,1,21.0
INDUSINDBK,roe,10,13.2
INDUSINDBK,roe,5,14.2
INDUSINDBK,roe,3,15.8
INFY,compounded_sales_growth,10,12.0
INFY,compounded_sales_growth,5,13.2
INFY,compounded_sales_growth,3,15.3
INFY,compounded_profit_growth,10,12.2
INFY,compounded_profit_growth,5,14.0
INFY,compounded_profit_growth,3,16.5
INFY,stock_price_cagr,10,15.4
INFY,stock_price_cagr,5,17.8
INFY,stock_price_cagr,3,14.2
INFY,stock_price_cagr,1,21.0
INFY,roe,10,28.8
INFY,roe,5,29.8
INFY,roe,3,31.3
IOC,compounded_sales_growth,10,6.8
IOC,compounded_sales_growth,5,8.0
IOC,compounded_sales_growth,3,10.1
IOC,compounded_profit_growth,10,12.2
IOC,compounded_profit_growth,5,14.0
IOC,compounded_profit_growth,3,16.5
IOC,stock_price_cagr,10,15.4
IOC,stock_price_cagr,5,17.8
IOC,stock_price_cagr,3,14.2
IOC,stock_price_cagr,1,21.0
IOC,roe,10,22.5
IOC,roe,5,23.5
IOC,roe,3,25.0
IRCTC,compounded_sales_growth,10,16.8
