company_id,company_name,sector,P/E,P/B,EV/EBITDA,FCF_yield_pct,5yr_median_PE,PE_vs_sector_median_pct,flag
NHPC,"NHPC Ltd
",Energy,250.0,60.0,13.12,0.1,150.0,86.3,Caution
NTPC,NTPC Ltd,Energy,74.92,9.49,13.12,1.36,126.06,-44.17,Discount
POWERGRID,Power Grid Corporation of India Ltd,Energy,232.95,42.26,13.12,9.53,150.0,73.6,Caution
RELIANCE,"Reliance Industries Ltd
",Energy,85.77,3.73,13.13,6.97,150.0,-36.08,Discount
TATAPOWER,"Tata Power Company Ltd
",Energy,250.0,3.24,13.12,0.24,150.0,86.3,Caution
AXISBANK,Axis Bank Ltd,Financials,16.58,0.53,13.12,-2.21,56.33,-64.83,Discount
BAJAJFINSV,Bajaj Finserv Ltd,Financials,86.44,1.16,13.12,-6.93,150.0,83.37,Caution
BAJAJHLDNG,Bajaj Holdings & Investment Ltd,Financials,3.71,0.5,13.12,0.14,9.57,-92.13,Discount
BAJFINANCE,Bajaj Finance Ltd,Financials,8.31,0.31,13.13,-9.23,27.29,-82.37,Discount
BANKBARODA,Bank of Baroda,Financials,32.57,1.01,13.12,-1.77,71.65,-30.91,Discount
CANBK,Canara Bank,Financials,206.45,6.91,13.13,4.85,150.0,337.95,Caution
HDFCLIFE,HDFC Life Insurance Company Ltd,Financials,250.0,45.93,13.12,-8.55,150.0,430.34,Caution
ICICIGI,ICICI Lombard General Insurance Company Ltd,Financials,92.6,14.59,13.13,0.06,150.0,96.44,Caution
ICICIPRULI,ICICI Prudential Life Insurance Company Ltd,Financials,250.0,40.91,13.12,0.01,150.0,430.34,Caution
INDUSINDBK,IndusInd Bank Ltd,Financials,19.23,2.74,13.12,-1.34,43.14,-59.21,Discount
IRFC,Indian Railway Finance Corporation Ltd,Financials,250.0,53.72,13.12,0.63,150.0,430.34,Caution
JIOFIN,Jio Financial Services Ltd,Financials,250.0,20.23,13.12,0.14,150.0,430.34,Caution
PFC,Power Finance Corporation Ltd,Financials,18.8,3.68,13.12,-8.33,53.85,-60.12,Discount
PNB,Punjab National Bank,Financials,250.0,5.42,13.12,-2.64,150.0,430.34,Caution
SBIN,State Bank of India,Financials,25.0,3.5,13.13,0.0,25.0,-46.97,Discount
CIPLA,"Cipla Ltd
",Healthcare,28.49,0.88,13.12,0.33,76.48,-42.23,Discount
DIVISLAB,Divis Laboratories Ltd,Healthcare,34.25,0.8,13.12,0.1,44.61,-30.56,Discount
ABB,Abbott India Ltd,Industrials,6.28,2.01,13.12,0.13,17.75,-91.04,Discount
BEL,Bharat Electronics Ltd,Industrials,250.0,34.49,13.13,-0.16,150.0,256.84,Caution
BHEL,"Bharat Heavy Electricals Limited
",Industrials,250.0,12.17,13.12,-0.68,150.0,256.84,Caution
GRASIM,Grasim Industries Ltd,Industrials,43.47,0.55,13.12,-8.42,61.73,-37.95,Discount
HAL,Hindustan Aeronautics Ltd,Industrials,19.15,5.48,13.12,0.15,51.97,-72.67,Discount
LT,Larsen & Toubro Ltd,Industrials,5.82,0.2,13.12,2.98,9.67,-91.69,Discount
SIEMENS,Siemens Ltd,Industrials,42.99,1.51,13.12,0.12,102.1,-38.64,Discount
HCLTECH,HCL Technologies Ltd,Information Technology,56.0,2.58,13.13,6.9,87.79,292.98,Caution
TECHM,Tech Mahindra Ltd,Information Technology,53.43,2.12,13.12,0.31,36.47,274.95,Caution
AMBUJACEM,Ambuja Cements Ltd,Materials,111.76,1.9,13.12,-0.4,150.0,305.66,Caution
HINDALCO,Hindalco Industries Ltd,Materials,53.64,0.5,13.12,3.96,142.0,94.7,Caution
JINDALSTEL,Jindal Steel & Power Ltd,Materials,41.93,0.55,13.12,-0.58,73.01,52.2,Caution
SHREECEM,Shree Cement Ltd,Materials,9.16,0.76,13.12,0.17,11.44,-66.75,Discount
TATASTEEL,"Tata Steel Ltd
",Materials,1.0,4.51,13.12,1.66,150.0,-96.37,Discount
LODHA,Macrotech Developers Ltd,Real Estate,47.32,4.31,13.12,-0.03,69.4,-47.12,Discount
